match_date,teams,venue,winner,runs_total,runs_batsman,runs_extras,team1_runs,team2_runs
2023-01-07,Fortune Barishal|Sylhet Strikers,"Shere Bangla National Stadium, Mirpur",Sylhet Strikers,390,375,15,195,195
2023-01-07,Hobart Hurricanes|Melbourne Renegades,"Docklands Stadium, Melbourne",Melbourne Renegades,326,315,11,163,163
2023-01-07,India|Sri Lanka,"Saurashtra Cricket Association Stadium, Rajkot",India,365,347,18,182,183
2023-01-07,Khulna Tigers|Dhaka Dominators,"Shere Bangla National Stadium, Mirpur",Dhaka Dominators,230,211,19,115,115
2023-01-08,Auckland|Canterbury,"Eden Park Outer Oval, Auckland",Canterbury,188,184,4,94,94
2023-01-08,Canterbury|Auckland,"Eden Park Outer Oval, Auckland",Canterbury,247,222,25,123,124
2023-01-08,Sydney Thunder|Sydney Sixers,Sydney Showground Stadium,Sydney Sixers,267,251,16,133,134
2023-01-09,Comilla Victorians|Sylhet Strikers,"Shere Bangla National Stadium, Mirpur",Sylhet Strikers,299,287,12,149,150
2023-01-09,Khulna Tigers|Chattogram Challengers,"Shere Bangla National Stadium, Mirpur",Chattogram Challengers,357,339,18,178,179
2023-01-09,Melbourne Stars|Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,264,247,17,132,132
2023-01-09,New Zealand|Pakistan,"National Stadium, Karachi",Pakistan,513,505,8,256,257
2023-01-10,Adelaide Strikers|Melbourne Renegades,Adelaide Oval,Adelaide Strikers,384,375,9,192,192
2023-01-10,India|Sri Lanka,"Barsapara Cricket Stadium, Guwahati",India,679,661,18,339,340
2023-01-10,Paarl Royals|MI Cape Town,"Newlands, Cape Town",MI Cape Town,285,275,10,142,143
2023-01-10,Rangpur Riders|Fortune Barishal,"Shere Bangla National Stadium, Mirpur",Fortune Barishal,320,295,25,160,160
2023-01-10,Sylhet Strikers|Dhaka Dominators,"Shere Bangla National Stadium, Mirpur",Sylhet Strikers,340,309,31,170,170
2023-01-11,Brisbane Heat|Perth Scorchers,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Perth Scorchers,312,295,17,156,156
2023-01-11,Joburg Super Kings|Durban's Super Giants,"Kingsmead, Durban",Joburg Super Kings,364,347,17,182,182
2023-01-11,New Zealand|Pakistan,"National Stadium, Karachi",New Zealand,443,422,21,221,222
2023-01-12,Adelaide Strikers|Melbourne Stars,Melbourne Cricket Ground,Melbourne Stars,217,204,13,108,109
2023-01-12,Ireland|Zimbabwe,Harare Sports Club,Zimbabwe,232,225,7,116,116
2023-01-12,Pretoria Capitals|Sunrisers Eastern Cape,"St George's Park, Gqeberha",Pretoria Capitals,363,352,11,181,182
2023-01-12,Sri Lanka|India,"Eden Gardens, Kolkata",India,434,409,25,217,217
2023-01-13,Canterbury|Northern Districts,"Hagley Oval, Christchurch",Canterbury,260,242,18,130,130
2023-01-13,Dubai Capitals|Abu Dhabi Knight Riders,Dubai International Cricket Stadium,Dubai Capitals,301,288,13,150,151
2023-01-13,Fortune Barishal|Chattogram Challengers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Fortune Barishal,378,366,12,189,189
2023-01-13,Joburg Super Kings|Paarl Royals,"Boland Park, Paarl",Paarl Royals,163,158,5,81,82
2023-01-13,Khulna Tigers|Rangpur Riders,"Zahur Ahmed Chowdhury Stadium, Chattogram",Rangpur Riders,261,248,13,130,131
2023-01-13,MI Cape Town|Durban's Super Giants,"Newlands, Cape Town",Durban's Super Giants,306,288,18,153,153
2023-01-13,Northern Districts|Canterbury,"Hagley Oval, Christchurch",Canterbury,203,173,30,101,102
2023-01-13,Pakistan|New Zealand,"National Stadium, Karachi",New Zealand,561,537,24,280,281
2023-01-13,Sydney Thunder|Perth Scorchers,Sydney Showground Stadium,Perth Scorchers,223,216,7,111,112
2023-01-14,Auckland|Central Districts,"Eden Park Outer Oval, Auckland",Central Districts,299,288,11,149,150
2023-01-14,Brisbane Heat|Adelaide Strikers,Adelaide Oval,Brisbane Heat,291,278,13,145,146
2023-01-14,Central Districts|Auckland,"Eden Park Outer Oval, Auckland",Auckland,227,209,18,113,114
2023-01-14,Dhaka Dominators|Chattogram Challengers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram Challengers,317,299,18,158,159
2023-01-14,Fortune Barishal|Comilla Victorians,"Zahur Ahmed Chowdhury Stadium, Chattogram",Fortune Barishal,342,334,8,171,171
2023-01-14,Joburg Super Kings|MI Cape Town,"Newlands, Cape Town",MI Cape Town,212,186,26,106,106
2023-01-14,MI Emirates|Sharjah Warriors,"Zayed Cricket Stadium, Abu Dhabi",MI Emirates,359,335,24,179,180
2023-01-14,Melbourne Renegades|Melbourne Stars,"Docklands Stadium, Melbourne",Melbourne Renegades,318,311,7,159,159
2023-01-14,Pretoria Capitals|Sunrisers Eastern Cape,"SuperSport Park, Centurion",Pretoria Capitals,395,379,16,197,198
2023-01-14,Zimbabwe|Ireland,Harare Sports Club,Ireland,294,276,18,147,147
2023-01-15,Abu Dhabi Knight Riders|Gulf Giants,"Zayed Cricket Stadium, Abu Dhabi",Gulf Giants,229,213,16,114,115
2023-01-15,Durban's Super Giants|Paarl Royals,"Kingsmead, Durban",Durban's Super Giants,405,376,29,202,203
2023-01-15,India|Sri Lanka,"Greenfield International Stadium, Thiruvananthapuram",India,463,438,25,231,232
2023-01-15,Ireland|Zimbabwe,Harare Sports Club,Zimbabwe,285,268,17,142,143
2023-01-15,Otago|Wellington,"University Oval, Dunedin",Wellington,258,254,4,129,129
2023-01-15,Sharjah Warriors|Desert Vipers,Dubai International Cricket Stadium,Desert Vipers,293,275,18,146,147
2023-01-15,Sydney Sixers|Perth Scorchers,Sydney Cricket Ground,Sydney Sixers,296,288,8,148,148
2023-01-15,Sydney Thunder|Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,271,257,14,135,136
2023-01-15,Wellington|Otago,"University Oval, Dunedin",Otago,243,228,15,121,122
2023-01-16,Chattogram Challengers|Comilla Victorians,"Zahur Ahmed Chowdhury Stadium, Chattogram",Comilla Victorians,272,252,20,136,136
2023-01-16,Dhaka Dominators|Sylhet Strikers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Sylhet Strikers,262,246,16,131,131
2023-01-16,Dubai Capitals|Gulf Giants,Dubai International Cricket Stadium,Gulf Giants,365,348,17,182,183
2023-01-16,MI Cape Town|Sunrisers Eastern Cape,"St George's Park, Gqeberha",Sunrisers Eastern Cape,320,301,19,160,160
2023-01-16,Melbourne Stars|Brisbane Heat,Melbourne Cricket Ground,Brisbane Heat,319,303,16,159,160
2023-01-16,Pakistan|Australia,"Allan Border Field, Brisbane",Australia,318,281,37,159,159
2023-01-17,Joburg Super Kings|Pretoria Capitals,"The Wanderers Stadium, Johannesburg",Joburg Super Kings,330,317,13,165,165
2023-01-17,Paarl Royals|Durban's Super Giants,"Boland Park, Paarl",Paarl Royals,328,302,26,164,164
2023-01-17,Rangpur Riders|Khulna Tigers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Khulna Tigers,259,235,24,129,130
2023-01-17,Sharjah Warriors|MI Emirates,Sharjah Cricket Stadium,MI Emirates,293,270,23,146,147
2023-01-17,Sydney Sixers|Adelaide Strikers,"International Sports Stadium, Coffs Harbour",Sydney Sixers,347,336,11,173,174
2023-01-17,Sylhet Strikers|Comilla Victorians,"Zahur Ahmed Chowdhury Stadium, Chattogram",Comilla Victorians,267,259,8,133,134
2023-01-18,Abu Dhabi Knight Riders|Desert Vipers,Dubai International Cricket Stadium,Desert Vipers,268,255,13,134,134
2023-01-18,Hobart Hurricanes|Perth Scorchers,Perth Stadium,Perth Scorchers,293,278,15,146,147
2023-01-18,India|New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",India,686,654,32,343,343
2023-01-18,Ireland|Zimbabwe,Harare Sports Club,Zimbabwe,502,473,29,251,251
2023-01-18,Joburg Super Kings|Pretoria Capitals,"SuperSport Park, Centurion",Pretoria Capitals,245,229,16,122,123
2023-01-18,MI Cape Town|Sunrisers Eastern Cape,"Newlands, Cape Town",Sunrisers Eastern Cape,343,328,15,171,172
2023-01-18,Pakistan|Australia,"Allan Border Field, Brisbane",Australia,254,228,26,127,127
2023-01-19,Comilla Victorians|Dhaka Dominators,"Zahur Ahmed Chowdhury Stadium, Chattogram",Comilla Victorians,335,320,15,167,168
2023-01-19,Fortune Barishal|Rangpur Riders,"Zahur Ahmed Chowdhury Stadium, Chattogram",Fortune Barishal,409,390,19,204,205
2023-01-19,Gulf Giants|Dubai Capitals,Sharjah Cricket Stadium,Gulf Giants,261,249,12,130,131
2023-01-19,India|South Africa,"Buffalo Park, East London",India,267,250,17,133,134
2023-01-19,Melbourne Renegades|Sydney Thunder,"Manuka Oval, Canberra",Sydney Thunder,286,271,15,143,143
2023-01-19,Paarl Royals|Sunrisers Eastern Cape,"Boland Park, Paarl",Sunrisers Eastern Cape,258,240,18,129,129
2023-01-20,Adelaide Strikers|Perth Scorchers,Adelaide Oval,Perth Scorchers,186,178,8,93,93
2023-01-20,Brisbane Heat|Hobart Hurricanes,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,312,278,34,156,156
2023-01-20,Chattogram Challengers|Khulna Tigers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Khulna Tigers,316,303,13,158,158
2023-01-20,Desert Vipers|Abu Dhabi Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Desert Vipers,327,314,13,163,164
2023-01-20,Durban's Super Giants|Pretoria Capitals,"Kingsmead, Durban",Pretoria Capitals,164,154,10,82,82
2023-01-20,Fortune Barishal|Dhaka Dominators,"Zahur Ahmed Chowdhury Stadium, Chattogram",Fortune Barishal,333,319,14,166,167
2023-01-20,Wellington|Auckland,"Eden Park Outer Oval, Auckland",Auckland,309,283,26,154,155
2023-01-20,Wellington|Auckland,"Eden Park Outer Oval, Auckland",Wellington,236,227,9,118,118
2023-01-21,Abu Dhabi Knight Riders|MI Emirates,"Zayed Cricket Stadium, Abu Dhabi",MI Emirates,346,314,32,173,173
2023-01-21,Australia|Pakistan,"North Sydney Oval, Sydney",Australia,571,522,49,285,286
2023-01-21,Central Districts|Otago,"Saxton Oval, Nelson",Otago,266,257,9,133,133
2023-01-21,Dubai Capitals|Sharjah Warriors,Dubai International Cricket Stadium,Sharjah Warriors,359,348,11,179,180
2023-01-21,Ireland|Zimbabwe,Harare Sports Club,Ireland,542,507,35,271,271
2023-01-21,MI Cape Town|Paarl Royals,"Boland Park, Paarl",MI Cape Town,271,257,14,135,136
2023-01-21,New Zealand|India,"Shaheed Veer Narayan Singh International Stadium, Raipur",India,219,211,8,109,110
2023-01-21,Otago|Central Districts,"Saxton Oval, Nelson",Otago,328,308,20,164,164
2023-01-21,South Africa|West Indies,"Buffalo Park, East London",South Africa,238,216,22,119,119
2023-01-21,Sunrisers Eastern Cape|Joburg Super Kings,"St George's Park, Gqeberha",Joburg Super Kings,255,241,14,127,128
2023-01-21,Sydney Sixers|Sydney Thunder,Sydney Cricket Ground,Sydney Sixers,249,241,8,124,125
2023-01-22,Auckland|Northern Districts,"Bay Oval, Mount Maunganui",Auckland,181,157,24,90,91
2023-01-22,Brisbane Heat|Melbourne Stars,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,372,332,40,186,186
2023-01-22,Desert Vipers|Gulf Giants,Dubai International Cricket Stadium,Gulf Giants,391,378,13,195,196
2023-01-22,Dubai Capitals|MI Emirates,"Zayed Cricket Stadium, Abu Dhabi",Dubai Capitals,428,398,30,214,214
2023-01-22,Northern Districts|Auckland,"Bay Oval, Mount Maunganui",Northern Districts,307,286,21,153,154
2023-01-22,Perth Scorchers|Melbourne Renegades,Perth Stadium,Perth Scorchers,414,396,18,207,207
2023-01-22,Pretoria Capitals|Paarl Royals,"Boland Park, Paarl",Paarl Royals,320,297,23,160,160
2023-01-22,Sunrisers Eastern Cape|Durban's Super Giants,"St George's Park, Gqeberha",Sunrisers Eastern Cape,296,283,13,148,148
2023-01-23,Comilla Victorians|Dhaka Dominators,"Shere Bangla National Stadium, Mirpur",Comilla Victorians,268,251,17,134,134
2023-01-23,India|West Indies,"Buffalo Park, East London",India,278,262,16,139,139
2023-01-23,Pretoria Capitals|MI Cape Town,"Newlands, Cape Town",Pretoria Capitals,312,292,20,156,156
2023-01-23,Rangpur Riders|Chattogram Challengers,"Shere Bangla National Stadium, Mirpur",Rangpur Riders,303,295,8,151,152
2023-01-23,Sharjah Warriors|Gulf Giants,Dubai International Cricket Stadium,Sharjah Warriors,281,260,21,140,141
2023-01-23,Sydney Sixers|Hobart Hurricanes,"Bellerive Oval, Hobart",Sydney Sixers,336,319,17,168,168
2023-01-23,Wellington|Canterbury,"Basin Reserve, Wellington",Canterbury,300,283,17,150,150
2023-01-23,Wellington|Canterbury,"Basin Reserve, Wellington",Wellington,302,288,14,151,151
2023-01-24,Adelaide Strikers|Melbourne Renegades,"Docklands Stadium, Melbourne",Melbourne Renegades,285,261,24,142,143
2023-01-24,Dhaka Dominators|Khulna Tigers,"Shere Bangla National Stadium, Mirpur",Dhaka Dominators,192,174,18,96,96
2023-01-24,Durban's Super Giants|Joburg Super Kings,"The Wanderers Stadium, Johannesburg",Joburg Super Kings,360,336,24,180,180
2023-01-24,India|New Zealand,"Holkar Cricket Stadium, Indore",India,680,649,31,340,340
2023-01-24,MI Emirates|Desert Vipers,"Zayed Cricket Stadium, Abu Dhabi",Desert Vipers,339,314,25,169,170
2023-01-24,Pakistan|Australia,"North Sydney Oval, Sydney",Australia,237,220,17,118,119
2023-01-24,Sunrisers Eastern Cape|Paarl Royals,"St George's Park, Gqeberha",Paarl Royals,261,253,8,130,131
2023-01-24,Sylhet Strikers|Fortune Barishal,"Shere Bangla National Stadium, Mirpur",Sylhet Strikers,344,327,17,172,172
2023-01-25,Hobart Hurricanes|Brisbane Heat,"University of Tasmania Stadium, Launceston",Hobart Hurricanes,238,220,18,119,119
2023-01-25,Melbourne Stars|Sydney Thunder,Melbourne Cricket Ground,Sydney Thunder,239,225,14,119,120
2023-01-25,West Indies|South Africa,"Buffalo Park, East London",South Africa,195,182,13,97,98
2023-01-26,Pakistan|Australia,"Bellerive Oval, Hobart",Australia,196,187,9,98,98
2023-01-27,Brisbane Heat|Sydney Thunder,Sydney Showground Stadium,Brisbane Heat,255,244,11,127,128
2023-01-27,Canterbury|Central Districts,"Hagley Oval, Christchurch",Canterbury,587,557,30,293,294
2023-01-27,Chattogram Challengers|Fortune Barishal,Sylhet International Cricket Stadium,Fortune Barishal,339,317,22,169,170
2023-01-27,New Zealand|India,"JSCA International Stadium Complex, Ranchi",New Zealand,331,316,15,165,166
2023-01-27,South Africa|England,"Mangaung Oval, Bloemfontein",South Africa,569,551,18,284,285
2023-01-27,Sylhet Strikers|Rangpur Riders,Sylhet International Cricket Stadium,Rangpur Riders,185,172,13,92,93
2023-01-28,Abu Dhabi Knight Riders|Sharjah Warriors,Dubai International Cricket Stadium,Sharjah Warriors,299,270,29,149,150
2023-01-28,Chattogram Challengers|Sylhet Strikers,Sylhet International Cricket Stadium,Sylhet Strikers,351,338,13,175,176
2023-01-28,Comilla Victorians|Khulna Tigers,Sylhet International Cricket Stadium,Comilla Victorians,326,309,17,163,163
2023-01-28,Desert Vipers|Dubai Capitals,Dubai International Cricket Stadium,Desert Vipers,286,265,21,143,143
2023-01-28,Sydney Sixers|Perth Scorchers,Perth Stadium,Perth Scorchers,305,293,12,152,153
2023-01-29,Central Districts|Otago,"University Oval, Dunedin",Otago,596,559,37,298,298
2023-01-29,England|South Africa,"Mangaung Oval, Bloemfontein",South Africa,689,652,37,344,345
2023-01-29,MI Emirates|Desert Vipers,Sharjah Cricket Stadium,MI Emirates,325,287,38,162,163
2023-01-29,Melbourne Renegades|Brisbane Heat,"Docklands Stadium, Melbourne",Brisbane Heat,326,313,13,163,163
2023-01-29,New Zealand|India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",India,200,183,17,100,100
2023-01-30,Abu Dhabi Knight Riders|Dubai Capitals,"Zayed Cricket Stadium, Abu Dhabi",Dubai Capitals,299,279,20,149,150
2023-01-30,Dhaka Dominators|Rangpur Riders,Sylhet International Cricket Stadium,Rangpur Riders,290,280,10,145,145
2023-01-30,Sylhet Strikers|Khulna Tigers,Sylhet International Cricket Stadium,Sylhet Strikers,353,327,26,176,177
2023-01-30,West Indies|India,"Buffalo Park, East London",India,189,179,10,94,95
2023-01-31,Desert Vipers|Sharjah Warriors,Sharjah Cricket Stadium,Desert Vipers,274,250,24,137,137
2023-01-31,Fortune Barishal|Dhaka Dominators,Sylhet International Cricket Stadium,Dhaka Dominators,313,303,10,156,157
2023-01-31,Khulna Tigers|Comilla Victorians,Sylhet International Cricket Stadium,Comilla Victorians,423,404,19,211,212
2023-02-01,England|South Africa,"Diamond Oval, Kimberley",England,633,606,27,316,317
2023-02-01,India|New Zealand,"Narendra Modi Stadium, Ahmedabad",India,300,290,10,150,150
2023-02-01,MI Emirates|Gulf Giants,"Zayed Cricket Stadium, Abu Dhabi",Gulf Giants,282,257,25,141,141
2023-02-02,Desert Vipers|Dubai Capitals,Dubai International Cricket Stadium,Desert Vipers,342,323,19,171,171
2023-02-02,India|South Africa,"Buffalo Park, East London",South Africa,222,204,18,111,111
2023-02-02,MI Cape Town|Durban's Super Giants,"Kingsmead, Durban",Durban's Super Giants,334,309,25,167,167
2023-02-02,Sydney Sixers|Brisbane Heat,Sydney Cricket Ground,Brisbane Heat,233,225,8,116,117
2023-02-03,Central Districts|Northern Districts,"Seddon Park, Hamilton",Northern Districts,224,216,8,112,112
2023-02-03,Dhaka Dominators|Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Rangpur Riders,263,245,18,131,132
2023-02-03,Fortune Barishal|Khulna Tigers,"Shere Bangla National Stadium, Mirpur",Fortune Barishal,351,331,20,175,176
2023-02-03,MI Emirates|Abu Dhabi Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",MI Emirates,342,318,24,171,171
2023-02-03,Northern Districts|Central Districts,"Seddon Park, Hamilton",Central Districts,77,73,4,38,39
2023-02-04,Brisbane Heat|Perth Scorchers,Perth Stadium,Perth Scorchers,353,341,12,176,177
2023-02-04,Canterbury|Otago,"Hagley Oval, Christchurch",Otago,572,541,31,286,286
2023-02-04,Chattogram Challengers|Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Comilla Victorians,313,301,12,156,157
2023-02-04,Gulf Giants|Desert Vipers,Dubai International Cricket Stadium,Gulf Giants,335,305,30,167,168
2023-02-04,MI Cape Town|Pretoria Capitals,"SuperSport Park, Centurion",Pretoria Capitals,319,292,27,159,160
2023-02-04,Sharjah Warriors|Abu Dhabi Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi Knight Riders,263,252,11,131,132
2023-02-04,Sylhet Strikers|Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Rangpur Riders,346,331,15,173,173
2023-02-05,Auckland|Wellington,"Basin Reserve, Wellington",Auckland,447,414,33,223,224
2023-02-05,Durban's Super Giants|Pretoria Capitals,"SuperSport Park, Centurion",Durban's Super Giants,357,340,17,178,179
2023-02-05,Joburg Super Kings|Sunrisers Eastern Cape,"The Wanderers Stadium, Johannesburg",Joburg Super Kings,296,282,14,148,148
2023-02-05,MI Emirates|Dubai Capitals,Dubai International Cricket Stadium,Dubai Capitals,330,311,19,165,165
2023-02-06,Canterbury|Otago,"University Oval, Dunedin",Otago,333,309,24,166,167
2023-02-06,Joburg Super Kings|MI Cape Town,"The Wanderers Stadium, Johannesburg",Joburg Super Kings,302,275,27,151,151
2023-02-06,Otago|Canterbury,"University Oval, Dunedin",Canterbury,333,322,11,166,167
2023-02-06,Sharjah Warriors|Gulf Giants,Sharjah Cricket Stadium,Gulf Giants,215,200,15,107,108
2023-02-07,Chattogram Challengers|Dhaka Dominators,"Shere Bangla National Stadium, Mirpur",Chattogram Challengers,221,194,27,110,111
2023-02-07,Fortune Barishal|Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Comilla Victorians,243,226,17,121,122
2023-02-07,Pretoria Capitals|Paarl Royals,"SuperSport Park, Centurion",Pretoria Capitals,393,361,32,196,197
2023-02-08,Chattogram Challengers|Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Rangpur Riders,267,253,14,133,134
2023-02-08,Desert Vipers|Gulf Giants,Dubai International Cricket Stadium,Desert Vipers,337,314,23,168,169
2023-02-08,Khulna Tigers|Sylhet Strikers,"Shere Bangla National Stadium, Mirpur",Sylhet Strikers,227,219,8,113,114
2023-02-08,Pretoria Capitals|Paarl Royals,"The Wanderers Stadium, Johannesburg",Pretoria Capitals,277,255,22,138,139
2023-02-09,Australia|India,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",India,668,638,30,334,334
2023-02-09,Dubai Capitals|MI Emirates,Sharjah Cricket Stadium,MI Emirates,303,283,20,151,152
2023-02-09,Northern Districts|Otago,"University Oval, Dunedin",Northern Districts,359,342,17,179,180
2023-02-09,Otago|Canterbury,"University Oval, Dunedin",Canterbury,163,154,9,81,82
2023-02-09,Singapore|Cambodia,Morodok Techo National Stadium,Singapore,113,59,54,56,57
2023-02-09,Sunrisers Eastern Cape|Joburg Super Kings,"SuperSport Park, Centurion",Sunrisers Eastern Cape,412,384,28,206,206
2023-02-09,Victoria|Queensland,Melbourne Cricket Ground,Victoria,884,829,55,442,442
2023-02-10,Cambodia|Singapore,Morodok Techo National Stadium,Singapore,95,76,19,47,48
2023-02-10,Comilla Victorians|Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Comilla Victorians,284,277,7,142,142
2023-02-10,Fortune Barishal|Khulna Tigers,"Shere Bangla National Stadium, Mirpur",Khulna Tigers,341,322,19,170,171
2023-02-10,MI Emirates|Gulf Giants,Dubai International Cricket Stadium,Gulf Giants,335,308,27,167,168
2023-02-10,South Australia|Western Australia,Adelaide Oval,South Australia,1094,1069,25,547,547
2023-02-10,Sri Lanka|South Africa,"Newlands, Cape Town",Sri Lanka,255,238,17,127,128
2023-02-11,Australia|New Zealand,"Boland Park, Paarl",Australia,249,238,11,124,125
2023-02-11,Cambodia|Singapore,Morodok Techo National Stadium,Singapore,54,27,27,27,27
2023-02-11,Canterbury|Northern Districts,"Hagley Oval, Christchurch",Northern Districts,310,302,8,155,155
2023-02-11,Canterbury|Wellington,"Hagley Oval, Christchurch",Canterbury,278,263,15,139,139
2023-02-11,Pretoria Capitals|Sunrisers Eastern Cape,"The Wanderers Stadium, Johannesburg",Sunrisers Eastern Cape,272,258,14,136,136
2023-02-11,West Indies|England,"Boland Park, Paarl",England,273,247,26,136,137
2023-02-12,Bangladesh|Sri Lanka,"Newlands, Cape Town",Sri Lanka,255,239,16,127,128
2023-02-12,Cambodia|Singapore,Morodok Techo National Stadium,Singapore,101,73,28,50,51
2023-02-12,Desert Vipers|Gulf Giants,Dubai International Cricket Stadium,Gulf Giants,295,282,13,147,148
2023-02-12,Fortune Barishal|Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Rangpur Riders,342,323,19,171,171
2023-02-12,Pakistan|India,"Newlands, Cape Town",India,300,292,8,150,150
2023-02-12,Sylhet Strikers|Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Comilla Victorians,255,245,10,127,128
2023-02-12,Zimbabwe|West Indies,"Queens Sports Club, Bulawayo",West Indies,580,541,39,290,290
2023-02-13,Ireland|England,"Boland Park, Paarl",England,212,205,7,106,106
2023-02-13,Lahore Qalandars|Multan Sultans,Multan Cricket Stadium,Lahore Qalandars,349,331,18,174,175
2023-02-13,South Africa|New Zealand,"Boland Park, Paarl",South Africa,199,187,12,99,100
2023-02-14,Bangladesh|Australia,"St George's Park, Gqeberha",Australia,218,204,14,109,109
2023-02-14,Namibia|Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,572,553,19,286,286
2023-02-14,Peshawar Zalmi|Karachi Kings,"National Stadium, Karachi",Peshawar Zalmi,396,377,19,198,198
2023-02-14,Queensland|Victoria,Melbourne Cricket Ground,Victoria,407,378,29,203,204
2023-02-14,Sylhet Strikers|Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Sylhet Strikers,345,328,17,172,173
2023-02-15,Namibia|Scotland,"Tribhuvan University International Cricket Ground, Kirtipur",Scotland,310,285,25,155,155
2023-02-15,Pakistan|Ireland,"Newlands, Cape Town",Pakistan,260,248,12,130,130
2023-02-15,Quetta Gladiators|Multan Sultans,Multan Cricket Stadium,Multan Sultans,221,212,9,110,111
2023-02-15,South Australia|Western Australia,Adelaide Oval,Western Australia,422,412,10,211,211
2023-02-15,West Indies|India,"Newlands, Cape Town",India,237,230,7,118,119
2023-02-16,England|New Zealand,"Bay Oval, Mount Maunganui",England,1131,1086,45,565,566
2023-02-16,Karachi Kings|Islamabad United,"National Stadium, Karachi",Islamabad United,351,335,16,175,176
2023-02-16,New South Wales|Tasmania,"North Sydney Oval, Sydney",New South Wales,480,458,22,240,240
2023-02-16,Sri Lanka|Australia,"St George's Park, Gqeberha",Australia,225,215,10,112,113
2023-02-16,Sylhet Strikers|Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Comilla Victorians,351,333,18,175,176
2023-02-17,Australia|India,"Arun Jaitley Stadium, Delhi",India,756,721,35,378,378
2023-02-17,Ireland|West Indies,"Newlands, Cape Town",West Indies,277,260,17,138,139
2023-02-17,Multan Sultans|Peshawar Zalmi,Multan Cricket Stadium,Multan Sultans,364,347,17,182,182
